,age,job,marital,education,housing,loan
265,27,blue-collar,single,basic.6y,no,no
266,34,self-employed,single,university.degree,yes,no
267,31,student,single,university.degree,no,no
268,54,management,divorced,university.degree,no,no
269,40,self-employed,married,basic.4y,no,no
270,52,unemployed,married,high.school,yes,no
271,47,management,divorced,university.degree,no,no
272,49,housemaid,married,basic.9y,no,no
273,32,admin.,single,high.school,no,no
274,49,housemaid,single,high.school,yes,yes
275,50,blue-collar,married,basic.9y,no,no
276,34,services,married,high.school,no,no
277,55,blue-collar,married,basic.4y,no,no
278,47,technician,single,basic.9y,no,no
279,51,retired,married,professional.course,no,no
280,47,blue-collar,married,basic.6y,no,no
281,56,technician,married,basic.4y,yes,no
282,53,admin.,married,basic.9y,no,no
283,36,blue-collar,married,basic.9y,yes,no
284,42,blue-collar,divorced,basic.9y,yes,no
285,44,blue-collar,divorced,basic.6y,no,no
286,39,housemaid,married,basic.9y,yes,no
287,37,admin.,single,high.school,yes,yes
288,60,blue-collar,married,unknown,yes,no
289,36,services,married,high.school,no,no
290,42,management,divorced,university.degree,yes,no
291,31,admin.,married,high.school,yes,yes
292,53,technician,divorced,professional.course,no,yes
293,45,blue-collar,married,basic.4y,yes,no
294,37,technician,single,professional.course,yes,no
295,47,self-employed,married,professional.course,no,no
296,49,blue-collar,divorced,high.school,no,yes
297,36,admin.,married,university.degree,yes,no
298,35,services,divorced,high.school,no,no
299,38,unknown,married,unknown,no,no
300,38,services,single,high.school,no,no
301,50,blue-collar,divorced,high.school,no,yes
302,59,retired,married,professional.course,no,no
303,43,unknown,married,unknown,yes,no
304,42,admin.,married,high.school,yes,no
305,40,admin.,married,basic.6y,yes,no
306,46,blue-collar,married,unknown,no,no
307,57,housemaid,divorced,basic.4y,yes,yes
308,42,admin.,married,university.degree,yes,no
309,41,blue-collar,married,basic.4y,yes,no
310,54,management,divorced,university.degree,yes,no
311,27,admin.,single,university.degree,no,no
312,36,admin.,married,high.school,no,no
313,58,blue-collar,married,professional.course,yes,no
314,40,management,married,university.degree,yes,no
315,34,admin.,single,basic.9y,no,no
316,33,admin.,divorced,high.school,no,no
317,56,retired,married,basic.6y,no,no
318,42,blue-collar,married,basic.9y,no,no
319,43,services,married,high.school,yes,no
320,54,management,single,basic.9y,yes,no
321,53,admin.,single,basic.6y,yes,yes
322,42,technician,single,unknown,no,no
323,40,services,married,basic.6y,no,no
324,54,technician,married,professional.course,yes,yes
325,40,housemaid,single,professional.course,no,no
326,26,admin.,single,university.degree,yes,no
327,33,admin.,married,high.school,no,no
328,35,blue-collar,married,basic.9y,no,no
329,36,admin.,married,high.school,no,no
330,29,services,single,high.school,yes,no
331,36,blue-collar,married,basic.9y,yes,no
332,35,management,married,high.school,yes,no
333,50,self-employed,single,university.degree,no,yes
334,46,services,married,high.school,yes,no
335,49,entrepreneur,married,high.school,yes,no
336,42,technician,single,professional.course,yes,no
337,36,blue-collar,single,high.school,yes,yes
338,55,blue-collar,married,basic.9y,yes,no
339,41,management,married,university.degree,no,no
340,57,management,married,professional.course,yes,no
341,32,services,single,high.school,yes,no
342,49,admin.,married,basic.9y,no,no
343,57,unknown,married,unknown,yes,no
344,58,blue-collar,divorced,basic.4y,yes,no
345,52,technician,married,high.school,yes,no
346,50,services,divorced,professional.course,no,no
347,41,blue-collar,single,basic.9y,yes,no
348,33,entrepreneur,married,university.degree,yes,no
349,57,blue-collar,married,basic.4y,no,no
350,48,blue-collar,married,basic.6y,no,no
351,55,technician,married,professional.course,no,no
352,38,management,married,university.degree,no,no
353,38,services,married,high.school,yes,no
354,53,admin.,married,university.degree,yes,no
355,43,unemployed,single,university.degree,no,no
356,36,blue-collar,single,high.school,no,no
357,32,blue-collar,married,basic.9y,no,no
358,33,services,married,basic.4y,no,no
359,58,entrepreneur,married,basic.4y,yes,no
360,40,unemployed,divorced,high.school,no,no
361,57,management,married,university.degree,yes,no
362,45,technician,married,high.school,yes,no
363,42,blue-collar,married,basic.4y,yes,no
364,46,admin.,married,university.degree,yes,no
365,36,technician,married,university.degree,no,no
366,41,self-employed,married,high.school,yes,no
367,57,admin.,divorced,basic.9y,no,no
368,49,blue-collar,married,basic.9y,yes,no
369,56,management,divorced,high.school,no,no
370,37,blue-collar,married,basic.9y,no,no
371,37,blue-collar,married,basic.9y,no,yes
372,46,admin.,single,high.school,yes,no
373,22,blue-collar,single,basic.9y,yes,no
374,43,services,married,high.school,no,no
375,49,blue-collar,married,unknown,no,no
376,41,technician,married,basic.6y,yes,no
377,38,admin.,single,university.degree,no,no
378,33,admin.,married,basic.9y,no,no
379,49,admin.,married,university.degree,yes,yes
380,30,blue-collar,single,unknown,no,no
381,33,admin.,married,basic.9y,yes,no
382,34,management,single,university.degree,no,no
383,30,student,single,unknown,no,no
384,59,management,married,basic.4y,yes,yes
385,59,management,married,basic.4y,unknown,unknown
386,41,self-employed,married,university.degree,no,no
387,48,housemaid,married,basic.6y,yes,yes
388,28,unknown,single,unknown,yes,yes
389,44,services,married,high.school,yes,no
390,59,retired,unknown,university.degree,no,no
391,50,management,married,high.school,no,no
392,35,admin.,married,university.degree,no,no
393,42,admin.,married,high.school,no,no
394,45,admin.,married,basic.9y,no,no
395,36,technician,married,professional.course,no,no
396,56,services,married,high.school,no,no
397,29,blue-collar,divorced,basic.4y,no,no
398,41,self-employed,married,university.degree,yes,yes
399,42,blue-collar,married,basic.9y,no,no
